일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,92.0000,0.7700,+0.84,12633269,90.7500,93.3400,90.0400
2026/08/28,91.2300,1.2600,+1.40,6468868,90.2900,91.5600,89.9400
2026/08/27,89.9700,2.0500,-2.23,7774372,91.5000,91.6100,89.9600
2026/08/26,92.0200,0.8800,+0.97,6046535,91.0800,92.5300,90.7500
2026/08/25,91.1400,1.7600,-1.89,6799593,92.2750,92.8200,91.1100
2026/08/24,92.9000,0.4500,-0.48,6010950,93.4300,94.0500,92.6550
2026/08/21,93.3500,1.0500,+1.14,7494836,92.5700,93.5500,91.7300
2026/08/20,92.3000,1.8300,-1.94,6348891,93.3700,94.5300,92.2300
2026/08/19,94.1300,2.0400,+2.22,5636476,92.3800,94.7150,91.9500
2026/08/18,92.0900,1.4900,+1.64,6790310,92.0000,93.0900,91.4652
2026/08/17,90.6000,0.6700,-0.73,7830501,90.8900,91.7900,90.0827
2026/08/14,91.2700,0.6900,+0.76,8245571,90.9900,91.9900,90.4100
2026/08/13,90.5800,0.1800,-0.20,6475825,91.4400,91.6100,90.4125
2026/08/12,90.7600,0.0800,+0.09,6232173,88.9600,91.0300,88.5000
2026/08/11,90.6800,1.2700,+1.42,8392591,89.2600,90.7300,88.7000
2026/08/10,89.4100,2.2500,+2.58,6572304,87.1600,89.4500,86.7150
2026/08/07,87.1600,1.2400,+1.44,5056708,85.4600,87.1900,84.9550
2026/08/06,85.9200,0.0700,-0.08,4976344,87.0100,87.3000,85.6750
2026/08/05,85.9900,0.2100,-0.24,4734047,86.5000,86.8258,85.0100
2026/08/04,86.2000,0.4800,-0.55,6361105,85.4900,86.2400,84.9500
2026/08/03,86.6800,1.2900,+1.51,6785320,86.8100,87.8900,85.8100
2026/07/31,85.3900,0.3200,-0.37,9605293,85.3300,85.9700,83.8350
2026/07/30,85.7100,1.8300,-2.09,7383087,86.4000,86.9900,85.0800
2026/07/29,87.5400,0.6600,+0.76,8294788,86.5400,88.6900,86.3200
2026/07/28,86.8800,2.6600,+3.16,14505133,86.2200,88.9800,86.1500
2026/07/27,84.2200,1.0100,+1.21,5420891,83.5100,85.1400,83.2100
2026/07/24,83.2100,1.2000,+1.46,4336173,82.8700,83.5950,82.4100
2026/07/23,82.0100,0.1200,+0.15,5543916,81.7400,82.8600,81.5000
2026/07/22,81.8900,0.4600,-0.56,4666993,82.9600,83.1000,81.5200
2026/07/21,82.3500,0.9400,-1.13,5840408,82.4900,83.2900,81.4900
2026/07/20,83.2900,0.0900,+0.11,7232476,82.9800,84.0250,82.8000
2026/07/17,83.2000,0.3600,-0.43,9207621,83.5200,84.6900,82.7100
2026/07/16,83.5600,3.0900,+3.84,9698350,81.4500,84.7880,81.1900
2026/07/15,80.4700,1.1700,+1.48,8785630,79.6050,81.8800,79.4619
2026/07/14,79.3000,4.2700,-5.11,8499354,81.5900,82.0000,78.9700
2026/07/13,83.5700,0.3000,-0.36,4885229,84.0000,84.6850,83.5300
2026/07/10,83.8700,1.4800,+1.80,7191947,82.8300,84.1900,82.5600
2026/07/09,82.3900,0.3800,+0.46,5532717,81.6900,83.0000,81.1000
2026/07/08,82.0100,1.8200,-2.17,5746777,83.1500,83.4950,81.8700
2026/07/07,83.8300,0.7700,+0.93,9080715,84.5700,85.9900,83.7300
2026/07/06,83.0600,0.1300,-0.16,10711174,83.2500,83.7650,81.4100
2026/07/02,83.1900,3.9900,+5.04,9723080,80.0000,83.3100,79.9000
2026/07/01,79.2000,0.9700,+1.24,7640513,78.6000,80.2800,78.6000
2026/06/30,78.2300,2.7000,-3.34,9876723,81.1100,81.2000,78.1400
2026/06/29,80.9300,0.0500,-0.06,8597344,81.1500,81.7800,80.5600
2026/06/26,80.9800,1.1800,+1.48,12401089,79.8400,81.8700,79.7100
2026/06/25,80.5200,0.3900,+0.49,9055164,80.1700,82.4800,80.1700
2026/06/24,80.1300,0.5000,-0.62,8817761,80.1200,82.0900,80.0700
2026/06/23,80.6300,1.3600,+1.72,8482604,79.7500,80.7500,79.5800
2026/06/22,79.2700,0.0700,-0.09,10018918,79.1650,79.8700,78.3000
2026/06/18,79.3400,1.2000,+1.54,22656856,78.5900,79.5100,78.4500
2026/06/17,78.1400,3.1800,-3.91,11874713,81.0000,81.7500,77.6200
2026/06/16,81.3200,0.9400,+1.17,8459428,81.3000,81.6250,80.6000
2026/06/15,80.3800,0.1800,+0.22,6492246,80.2500,80.7850,79.9800
2026/06/12,80.2000,0.1300,-0.16,7692356,80.5800,80.7400,79.2600
2026/06/11,80.3300,0.0800,+0.10,8411606,80.0900,80.9175,79.8000
2026/06/10,80.2500,1.7300,-2.11,7004383,82.2100,82.2500,80.1600
2026/06/09,81.9800,1.2900,+1.60,9825490,80.7600,82.3400,80.6000
2026/06/08,80.6900,0.9800,-1.20,10254472,80.9900,81.0600,79.9600
2026/06/05,81.6700,0.2600,-0.32,15286759,82.1000,82.6800,81.1100
2026/06/04,81.9300,3.9800,+5.11,19849637,80.0000,82.8300,79.8700
2026/06/03,77.9500,4.2000,+5.69,20289729,77.1200,78.3600,76.2700
2026/06/02,73.7500,0.2300,-0.31,14441699,73.8100,74.4800,73.3100
2026/06/01,73.9800,0.1700,+0.23,14209849,74.0000,75.0300,73.7650
2026/05/29,73.8100,1.7600,-2.33,22243503,75.8500,75.8500,73.6700
2026/05/28,75.5700,0.4100,-0.54,13098873,75.5500,76.2600,75.2950
2026/05/27,75.9800,1.6200,-2.09,10474883,77.6800,78.2200,75.8400
2026/05/26,77.6000,1.0000,-1.27,6704214,78.5500,78.5500,77.4700
2026/05/22,78.6000,0.4500,+0.58,7051744,78.4000,79.2500,78.2069
2026/05/21,78.1500,0.0000,0,9226489,77.4900,78.1700,76.9800
2026/05/20,78.1500,0.4300,-0.55,9665664,78.1700,78.6000,77.3500
2026/05/19,78.5800,1.2600,+1.63,11931681,77.3500,78.9900,76.7400
2026/05/18,77.3200,1.1700,+1.54,10973288,76.3000,77.5500,76.0300
2026/05/15,76.1500,0.8200,-1.07,9127303,77.0000,77.3800,75.8500
2026/05/14,76.9700,0.7600,+1.00,7444027,76.3550,77.0983,75.9350
2026/05/13,76.2100,0.6100,-0.79,10975166,75.9300,76.4800,75.4000
2026/05/12,76.8200,2.2800,+3.06,10255151,74.9700,77.1250,74.6000
2026/05/11,74.5400,1.6100,-2.11,10495717,76.2500,76.5000,74.4000
2026/05/08,76.1500,1.8100,-2.32,10199475,78.3400,78.3400,75.9100
2026/05/07,77.9600,0.3600,+0.46,10008263,77.9900,79.1150,77.6400
2026/05/06,77.6000,0.1900,-0.24,11477417,78.1800,78.4599,77.1600
2026/05/05,77.7900,0.5100,-0.65,9327189,78.5000,78.5500,77.3913
2026/05/04,78.3000,1.7000,-2.12,11134052,79.4700,79.5949,78.2900
2026/05/01,80.0000,0.9700,-1.20,8268505,80.9500,81.1700,79.9700
2026/04/30,80.9700,1.6000,+2.02,15781683,79.5000,81.1100,78.9800
2026/04/29,79.3700,2.5300,-3.09,10814128,81.4400,81.4500,78.9100
2026/04/28,81.9000,1.0200,-1.23,9889167,83.7300,84.0000,81.2500
2026/04/27,82.9200,0.4000,-0.48,6635219,83.1200,84.0500,82.8632
2026/04/24,83.3200,0.4700,-0.56,6570203,83.5100,83.7700,82.7750
2026/04/23,83.7900,0.5700,+0.68,7864775,83.8500,84.2500,82.8700
2026/04/22,83.2200,1.2200,+1.49,10669067,82.9000,84.2700,82.6600
2026/04/21,82.0000,3.0000,-3.53,10786358,85.2500,85.3500,81.9600
2026/04/20,85.0000,1.1900,-1.38,8500582,85.9900,87.0500,84.9900
2026/04/17,86.1900,0.5400,+0.63,10461061,85.7200,87.0500,85.5500
2026/04/16,85.6500,1.4500,-1.66,8816850,86.8200,87.5800,85.5050
2026/04/15,87.1000,1.0200,-1.16,8543161,87.8600,87.9050,86.4500
2026/04/14,88.1200,0.1200,+0.14,5640336,88.0000,88.6700,87.4300
2026/04/13,88.0000,0.7900,+0.91,8277152,87.0000,88.1600,86.4100
2026/04/10,87.2100,0.7000,-0.80,8279818,88.3500,88.3500,87.0700
2026/04/09,87.9100,0.7400,-0.83,7896838,87.9100,88.5500,87.3000
2026/04/08,88.6500,2.2300,+2.58,12720898,87.8650,88.8400,86.9100
2026/04/07,86.4200,0.1400,+0.16,6995410,85.9900,86.9700,85.3100
2026/04/06,86.2800,0.3500,-0.40,4532309,86.4300,87.3000,86.0700
2026/04/02,86.6300,0.5700,+0.66,4687667,85.8600,86.9650,85.2101
2026/04/01,86.0600,0.5900,-0.68,7408644,86.5800,86.9600,85.4000
2026/03/31,86.6500,0.9100,+1.06,7342182,86.7200,86.7800,84.9200
2026/03/30,85.7400,1.4000,-1.61,8716183,87.4500,87.5300,85.6500
2026/03/27,87.1400,0.1800,+0.21,10312350,87.3200,87.5300,86.3500
2026/03/26,87.6700,0.2200,-0.25,10770061,87.3000,89.1800,87.3000
2026/03/25,87.8900,1.3100,+1.51,9380121,86.9000,88.0700,86.3401
2026/03/24,86.5800,0.5900,-0.68,6696405,86.4900,87.3000,86.1601
2026/03/23,87.1700,1.0100,+1.17,6903337,87.2400,87.6800,86.3600
2026/03/20,86.1600,0.7100,-0.82,11113868,86.8300,87.2750,85.7800
2026/03/19,86.8700,0.3400,-0.39,5755710,87.2500,87.7197,86.5100
2026/03/18,87.2100,1.2300,-1.39,7081775,88.0500,88.7270,87.0600
2026/03/17,88.4400,0.2000,+0.23,6283027,88.4600,89.3650,88.1600
2026/03/16,88.2400,1.1000,+1.26,8110063,87.4100,88.7500,87.2500
2026/03/13,87.1400,0.2400,-0.27,7923383,87.6600,88.5600,86.7200
2026/03/12,87.3800,1.5900,-1.79,11034135,89.3800,90.1700,87.3100
2026/03/11,88.9700,0.9200,-1.02,7974055,90.0000,90.3500,87.9900
2026/03/10,89.8900,1.4500,-1.59,8834439,91.2100,91.4100,89.1506
2026/03/09,91.3400,0.4400,+0.48,11112358,90.0000,91.5400,89.0100
2026/03/06,90.9000,2.1100,-2.27,10787213,92.4900,92.6700,90.1700
2026/03/05,93.0100,2.5900,-2.71,8368744,94.7500,94.8981,92.3150
2026/03/04,95.6000,1.1100,-1.15,7236087,96.6800,96.9000,95.4200
2026/03/03,96.7100,1.3900,-1.42,6728039,97.2700,97.7284,95.9850
2026/03/02,98.1000,0.4400,+0.45,6393946,97.1100,98.7700,96.7100
2026/02/27,97.6600,0.6300,+0.65,8290547,96.6900,98.0599,96.3000
2026/02/26,97.0300,0.3800,+0.39,7910880,97.1000,97.6000,95.9850
2026/02/25,96.6500,0.1000,-0.10,6830917,96.3200,97.3900,95.8950
2026/02/24,96.7500,1.8600,-1.89,7614107,98.5400,98.7300,96.5700
2026/02/23,98.6100,1.7500,+1.81,5960120,96.6500,98.9800,96.5400
2026/02/20,96.8600,0.7200,-0.74,7188694,97.1800,97.8650,96.4650
2026/02/19,97.5800,0.9100,-0.92,9888427,98.3600,98.7205,96.8800
2026/02/18,98.4900,2.0800,+2.16,10367992,96.0000,98.5500,95.9450
2026/02/17,96.4100,3.0800,-3.10,17374819,95.8750,98.1200,95.5000
2026/02/13,99.4900,1.3900,-1.38,10354801,100.9200,102.5050,99.1200
2026/02/12,100.8800,0.2000,-0.20,9379147,101.1300,102.0500,100.5600
2026/02/11,101.0800,0.3400,-0.34,10405989,101.2200,101.2200,98.6200
2026/02/10,101.4200,0.2300,-0.23,9032288,101.6000,103.1100,100.8800
2026/02/09,101.6500,1.2500,-1.21,8888848,103.5900,103.6250,101.4300
2026/02/06,102.9000,0.0500,-0.05,6618197,102.9900,103.7499,101.8900
2026/02/05,102.9500,1.1100,+1.09,9834986,101.9200,104.5000,101.9200
2026/02/04,101.8400,1.3400,-1.30,12572091,103.3200,105.5000,101.1900
2026/02/03,103.1800,0.4700,+0.46,10725641,102.7100,105.0250,102.5550
2026/02/02,102.7100,0.2500,-0.24,7284239,102.8500,103.3200,102.1100
2026/01/30,102.9600,1.9600,+1.94,8579907,101.6600,103.0200,101.2750
2026/01/29,101.0000,0.2100,+0.21,10125993,101.1400,101.5900,99.6900
2026/01/28,100.7900,0.1000,+0.10,6643248,100.4600,101.2500,100.2600
2026/01/27,100.6900,0.0200,+0.02,7132022,100.2300,102.0300,99.6800
2026/01/26,100.6700,0.2100,-0.21,8402344,100.9450,102.1000,100.5750
2026/01/23,100.8800,0.4600,-0.45,8482439,101.0100,101.7200,100.2300
2026/01/22,101.3400,1.0500,+1.05,9978749,100.4150,102.0800,100.1150
2026/01/21,100.2900,1.6900,+1.71,11295110,99.2900,101.0300,98.7400
2026/01/20,98.6000,1.8400,+1.90,10113607,96.2600,98.6700,95.6850
2026/01/16,96.7600,2.2400,-2.26,9035618,98.6800,98.9500,96.6700
2026/01/15,99.0000,0.2600,+0.26,6703773,98.3800,99.4600,97.6375
2026/01/14,98.7400,2.3200,+2.41,9909283,96.3300,98.7700,95.8300
2026/01/13,96.4200,0.5300,-0.55,5823362,97.3150,97.3150,95.9300
2026/01/12,96.9500,0.5800,-0.59,7837007,97.8700,98.0000,95.8700
2026/01/09,97.5300,1.1600,-1.18,5982810,98.9500,99.1950,97.1000
2026/01/08,98.6900,1.0800,-1.08,5386152,99.6200,100.4000,98.6700
2026/01/07,99.7700,0.5400,-0.54,7117928,100.6800,101.3200,99.3700
2026/01/06,100.3100,2.9500,+3.03,7107604,98.0600,100.5400,97.7100
2026/01/05,97.3600,1.3100,+1.36,6597746,95.6300,97.5550,95.1700
2026/01/02,96.0500,0.0100,-0.01,6221960,96.0400,96.4399,95.2900
2025/12/31,96.0600,0.6000,-0.62,4731633,96.5500,96.9899,95.9400
2025/12/30,96.6600,0.5100,+0.53,3741169,96.3200,96.8800,96.0801
2025/12/29,96.1500,0.3700,-0.38,4790828,96.7400,96.9100,95.9600
2025/12/26,96.5200,0.0400,-0.04,4340534,96.7100,96.7499,96.0100
2025/12/24,97.2700,0.2000,-0.21,1978993,97.4100,97.6000,97.0000
2025/12/23,97.4700,0.2400,-0.25,3579805,97.5100,97.8900,97.2700
2025/12/22,97.7100,0.9200,-0.93,6546910,98.4000,98.4800,96.8900
2025/12/19,98.6300,0.1500,+0.15,12760078,98.5400,99.2400,98.2153
2025/12/18,98.4800,0.1800,+0.18,6306005,98.6900,99.2587,98.0850
2025/12/17,98.3000,0.5800,+0.59,5574541,97.8100,98.5899,97.7600
2025/12/16,97.7200,0.8500,-0.86,5639065,98.5500,98.6200,97.1700
2025/12/15,98.5700,1.3000,-1.30,9569280,99.9000,100.6700,98.3500
2025/12/12,99.8700,0.1200,+0.12,6546521,99.8500,100.1100,99.0000
2025/12/11,99.7500,1.0200,-1.01,8339069,101.3900,101.3900,99.6200
2025/12/10,100.7700,1.1500,+1.15,6158778,99.5000,101.0700,99.4900
2025/12/09,99.6200,1.6400,-1.62,4666268,101.4300,101.9999,99.5750
2025/12/08,101.2600,0.1000,-0.10,5528785,101.8100,102.4900,101.0500
2025/12/05,101.3600,0.6300,-0.62,5158121,102.1100,102.4600,101.3050
2025/12/04,101.9900,0.0200,+0.02,4480706,102.0400,102.7500,101.7419
2025/12/03,101.9700,0.0600,-0.06,4167811,102.5400,102.9100,101.5800
2025/12/02,102.0300,1.3100,-1.27,5797376,103.4200,103.4700,101.7050
2025/12/01,103.3400,1.9900,-1.89,6666521,105.0000,105.7300,103.3100
2025/11/28,105.3300,0.3100,+0.30,2618151,105.0400,105.3300,104.6200
2025/11/26,105.0200,0.3300,-0.31,5249721,105.0600,106.3300,104.7000
2025/11/25,105.3500,2.1500,+2.08,9483222,103.8000,105.6000,103.8000
2025/11/24,103.2000,2.0000,+1.98,13926400,101.5250,103.7000,100.9675
2025/11/21,101.2000,1.8500,+1.86,11381039,99.6500,102.0300,99.2600
2025/11/20,99.3500,0.9900,-0.99,6726453,100.3700,101.1900,99.0840
2025/11/19,100.3400,0.4600,-0.46,12429759,100.9900,102.5900,99.9700
2025/11/18,100.8000,4.5200,+4.69,21965410,99.9700,102.4800,99.4100
2025/11/17,96.2800,0.4100,+0.43,11087618,95.8200,97.2500,95.8000
2025/11/14,95.8700,0.2700,-0.28,6324550,95.8100,96.5700,95.1400
2025/11/13,96.1400,0.3300,+0.34,5284495,95.0000,96.7100,94.6400
2025/11/12,95.8100,0.4100,+0.43,6321992,95.0000,96.2900,94.8200
2025/11/11,95.4000,2.7400,+2.96,8555772,92.9700,95.4000,92.8000
2025/11/10,92.6600,0.4600,+0.50,5375272,91.9500,92.7900,91.5200
2025/11/07,92.2000,2.1400,+2.38,7520670,90.7000,92.2400,90.1971
2025/11/06,90.0600,0.3400,-0.38,5462225,90.0900,90.8200,89.6200
2025/11/05,90.4000,0.0200,-0.02,5675116,89.8000,90.4900,89.3600
2025/11/04,90.4200,0.2200,+0.24,4729161,90.1800,90.4700,89.6600
2025/11/03,90.2000,0.5000,-0.55,7307737,90.6500,90.6500,89.0400
2025/10/31,90.7000,0.2700,-0.30,5959771,90.6000,91.3200,90.0900
2025/10/30,90.9700,0.7600,-0.83,5617394,91.7700,91.9450,90.7050
2025/10/29,91.7300,1.5000,-1.61,6963908,92.7800,92.8050,91.3801
2025/10/28,93.2300,0.9000,-0.96,4279834,93.8100,94.5950,93.2100
2025/10/27,94.1300,0.4600,+0.49,5562825,93.7350,94.2400,93.1100
2025/10/24,93.6700,0.5400,-0.57,4309275,94.4200,94.9600,93.2900
2025/10/23,94.2100,1.6900,-1.76,9122220,96.1500,96.2400,91.8700
2025/10/22,95.9000,0.0700,+0.07,6652051,96.5850,97.2400,95.5500
2025/10/21,95.8300,0.0900,-0.09,4405415,95.6200,96.1600,95.2400
2025/10/20,95.9200,0.1400,+0.15,5137888,96.0900,96.6000,94.9303
2025/10/17,95.7800,0.7400,+0.78,6136039,95.2800,95.8100,94.9000
2025/10/16,95.0400,0.3000,-0.31,4802755,95.2000,95.9700,94.7000
2025/10/15,95.3400,1.2000,-1.24,7246922,96.0700,96.8600,94.0600
2025/10/14,96.5400,0.9600,+1.00,4863007,95.2600,96.6000,95.2600
2025/10/13,95.5800,0.1300,+0.14,4619902,95.7000,96.4050,95.0600
2025/10/10,95.4500,1.0500,-1.09,6829767,96.6800,97.0450,95.3000
2025/10/09,96.5000,1.3700,-1.40,6207278,98.1900,98.2350,95.9600
2025/10/08,97.8700,0.4600,-0.47,7470103,98.5700,98.6800,96.7700
2025/10/07,98.3300,0.1000,-0.10,5894117,98.3300,99.3700,97.9000
2025/10/06,98.4300,0.7300,+0.75,8134730,97.6350,98.6600,97.6300
2025/10/03,97.7000,2.2200,+2.33,8573349,95.6700,97.9400,95.3800
2025/10/02,95.4800,0.6700,+0.71,6212680,94.4100,95.7400,93.9800
2025/10/01,94.8100,0.4300,-0.45,10343766,95.1500,95.7300,91.8650
2025/09/30,95.2400,1.2700,+1.35,7119027,93.9000,95.3850,93.8050
2025/09/29,93.9700,0.2500,-0.27,5452013,94.2100,94.3250,93.2900
2025/09/26,94.2200,0.6300,+0.67,5042833,93.8500,94.7300,93.4800
2025/09/25,94.3000,1.4400,-1.50,7560775,95.2700,95.6300,92.7200
2025/09/24,95.7400,0.7800,+0.82,11265276,94.8500,95.9850,94.8000
2025/09/23,94.9600,0.3400,+0.36,7101065,94.5200,95.6565,94.1650
2025/09/22,94.6200,0.4600,-0.48,7581703,95.3900,95.5000,94.3000
2025/09/19,95.0800,0.5100,-0.53,15677037,95.9100,95.9100,94.0750
2025/09/18,95.5900,1.0100,+1.07,9364631,94.4900,95.6400,93.8150
2025/09/17,94.5800,0.3900,+0.41,8145826,94.4200,95.1200,93.8075
2025/09/16,94.1900,0.7600,+0.81,7722422,93.2700,95.5400,93.2700
2025/09/15,93.4300,0.6000,-0.64,5716301,94.6000,94.9300,93.2200
2025/09/12,94.0300,0.2200,-0.23,7334440,93.9600,95.2900,93.5100
2025/09/11,94.2500,1.9300,+2.09,6957857,92.3100,94.2700,92.2500
2025/09/10,92.3200,1.7500,-1.86,5625566,94.2500,94.3000,91.5900
2025/09/09,94.0700,1.0800,+1.16,7038706,92.8350,94.3100,92.7300
2025/09/08,92.9900,0.0900,+0.10,5024124,92.1600,93.0000,91.3850
2025/09/05,92.9000,0.0500,+0.05,4856952,93.1400,93.9400,92.5200
2025/09/04,92.8500,0.6000,+0.65,6641476,92.2600,94.3500,91.7900
2025/09/03,92.2500,1.0800,-1.16,5365396,93.1500,93.5600,91.4200
2025/09/02,93.3300,0.5200,+0.56,7150345,92.5400,93.8343,92.4050
2025/08/29,92.8100,0.8500,+0.92,5174580,92.0500,92.8200,91.9600
2025/08/28,91.9600,0.0900,-0.10,5626571,92.1000,92.1000,91.3300
2025/08/27,92.0500,0.1300,-0.14,4223306,92.0400,92.1800,91.3300
2025/08/26,92.1800,0.1400,+0.15,6251652,92.4300,92.5000,91.8600
2025/08/25,92.0400,0.6700,-0.72,5106523,92.7400,93.0500,91.9200
2025/08/22,92.7100,1.6100,+1.77,4876003,91.6800,92.9600,91.6800
2025/08/21,91.1000,2.1200,-2.27,6808601,93.3150,93.7900,91.0250
2025/08/20,93.2200,3.3200,+3.69,13227390,90.3550,94.4400,90.2900
2025/08/19,89.9000,2.9100,-3.14,19583908,87.8350,90.1500,87.5000
2025/08/18,92.8100,0.2100,-0.23,11581758,92.7700,93.3200,92.5100
2025/08/15,93.0200,1.0400,+1.13,6641183,92.5200,93.1800,92.0227
2025/08/14,91.9800,0.9300,-1.00,6873526,92.8500,92.9100,91.7200
2025/08/13,92.9100,0.8300,+0.90,6596944,92.0000,93.1558,91.6600
2025/08/12,92.0800,0.6600,-0.71,5445260,92.8400,93.1200,91.4500
2025/08/11,92.7400,0.1400,-0.15,6782958,92.8500,93.2800,92.3500
2025/08/08,92.8800,1.6400,+1.80,6637029,91.2050,92.9600,91.2000
2025/08/07,91.2400,1.8800,+2.10,8206997,89.9900,91.7300,89.7250
2025/08/06,89.3600,0.3100,-0.35,5545019,89.6800,90.0000,88.9600
2025/08/05,89.6700,0.0300,+0.03,5596977,90.1400,90.2000,89.2900
2025/08/04,89.6400,0.3000,+0.34,8078844,89.4500,90.1150,88.2500
2025/08/01,89.3400,0.9000,-1.00,6658193,89.6100,89.9600,88.6900
2025/07/31,90.2400,1.4000,-1.53,8310198,91.4250,91.6900,90.1450
2025/07/30,91.6400,0.8000,-0.87,5424024,92.2600,92.3800,91.2200
2025/07/29,92.4400,0.4700,+0.51,4676829,91.8150,92.7100,91.7500
2025/07/28,91.9700,0.9700,-1.04,4311524,92.7200,92.7500,91.8700
2025/07/25,92.9400,0.6200,+0.67,5376597,91.9650,93.1000,91.9300
2025/07/24,92.3200,0.3100,+0.34,6684945,92.0400,92.5000,91.3200
2025/07/23,92.0100,0.3600,+0.39,7818824,91.8500,92.7700,90.8900
2025/07/22,91.6500,1.9500,+2.17,7457148,89.9700,91.9200,89.8050
2025/07/21,89.7000,0.0900,+0.10,6016191,89.4300,90.4550,89.1800
2025/07/18,89.6100,0.0800,+0.09,6413567,89.9800,90.5208,89.3050
2025/07/17,89.5300,0.2500,-0.28,6952025,89.5350,89.6900,88.3500
2025/07/16,89.7800,0.5600,+0.63,5173559,89.5900,89.9200,89.0200
2025/07/15,89.2200,0.5100,-0.57,8617505,89.7000,90.1200,88.4100
2025/07/14,89.7300,0.1900,-0.21,8911898,89.7500,90.2390,88.9800
2025/07/11,89.9200,0.5200,+0.58,12259488,91.7700,91.8500,89.0650
2025/07/10,89.4000,0.4000,+0.45,7962916,89.2300,90.4850,88.5000
2025/07/09,89.0000,0.4200,+0.47,4673255,88.8300,89.1450,87.9800
2025/07/08,88.5800,0.9100,+1.04,5403110,87.5600,89.0400,87.3050
2025/07/07,87.6700,0.7200,-0.81,7218269,88.4900,88.6450,87.3200
2025/07/03,88.3900,0.1100,+0.12,2989470,88.3700,88.7012,88.0600
2025/07/02,88.2800,0.4700,-0.53,8663002,88.8200,89.1700,88.0250
2025/07/01,88.7500,1.5800,+1.81,10089402,86.8300,88.7500,86.7100
2025/06/30,87.1700,1.1500,+1.34,8205656,86.6500,87.4100,86.1800
2025/06/27,86.0200,0.5500,+0.64,10134011,85.5000,86.5200,85.2200
2025/06/26,86.1800,0.2100,+0.24,11117679,85.8900,86.6800,85.5000
2025/06/25,85.9700,0.1100,-0.13,8461705,85.8600,86.4250,85.4400
2025/06/24,86.0800,0.1200,+0.14,11144175,85.8200,86.3900,84.9400
2025/06/23,85.9600,0.3800,-0.44,6747004,86.2400,86.3400,84.5800
2025/06/20,86.3400,0.6100,+0.71,13089624,86.1400,86.4250,85.7300
2025/06/18,85.7300,0.4400,-0.51,8514790,86.3100,86.4000,85.4100
2025/06/17,86.1700,1.7500,-1.99,6939254,88.1050,88.1350,85.9600
2025/06/16,87.9200,0.6500,+0.74,8414689,88.2100,88.7700,87.5800
2025/06/13,87.2700,1.2200,-1.38,6011709,88.2100,88.6300,87.0750
2025/06/12,88.4900,0.4300,+0.49,5855307,88.0300,88.5300,87.6500
2025/06/11,88.0600,0.1000,+0.11,4643328,87.9300,88.4650,87.7600
2025/06/10,87.9600,0.5100,+0.58,6628034,87.7200,88.5039,87.4600
2025/06/09,87.4500,0.0100,+0.01,8624992,87.4000,87.8100,86.3800
2025/06/06,87.4400,0.4400,+0.51,7577543,87.2900,87.4500,86.7901
2025/06/05,87.0000,1.4000,+1.64,10364300,85.8500,87.2100,85.4900
2025/06/04,85.6000,0.0600,+0.07,9070714,85.5400,86.3500,85.5400
2025/06/03,85.5400,1.8000,+2.15,11977725,83.1400,85.6200,83.1400
2025/06/02,83.7400,0.7600,+0.92,7904393,82.4000,83.7700,82.2100
2025/05/30,82.9800,0.5700,+0.69,11026172,82.2000,83.2700,81.5100
2025/05/29,82.4100,1.1700,+1.44,8093554,81.2800,82.4200,81.2501
2025/05/28,81.2400,0.0600,+0.07,7515926,81.5000,82.3000,81.1350
2025/05/27,81.1800,0.5000,+0.62,8294453,81.1500,81.5990,80.7100
2025/05/23,80.6800,0.2300,-0.28,10571900,80.6200,80.8150,79.9300
2025/05/22,80.9100,3.5000,-4.15,14683385,83.2800,83.6250,80.8800
2025/05/21,84.4100,1.9600,-2.27,12936879,86.5900,88.2800,84.2100
2025/05/20,86.3700,0.6000,-0.69,9253531,85.4200,86.8650,85.3900
2025/05/19,86.9700,0.5300,+0.61,7296876,85.7900,87.0700,85.6900
2025/05/16,86.4400,0.3300,+0.38,6506996,86.1300,86.4500,85.8400
2025/05/15,86.1100,1.8600,+2.21,6567764,84.8000,86.1200,84.6952
2025/05/14,84.2500,0.8600,-1.01,5684923,84.9000,85.1100,84.0900
2025/05/13,85.1100,0.7000,-0.82,5532722,85.4900,85.8000,84.8050
2025/05/12,85.8100,2.3300,+2.79,7720307,84.4450,86.2500,84.0600
2025/05/09,83.4800,0.1400,-0.17,6588594,83.5000,84.2400,83.3500
2025/05/08,83.6200,0.4600,+0.55,6252546,83.4700,84.5799,83.1600
2025/05/07,83.1600,0.8400,+1.02,7557239,82.3200,83.5700,81.8700
2025/05/06,82.3200,1.1300,-1.35,7415781,83.3400,83.4600,82.0400
2025/05/05,83.4500,1.4000,-1.65,7168668,84.6300,84.8000,83.2300
2025/05/02,84.8500,1.2900,+1.54,5727613,84.4800,85.0700,83.8800
2025/05/01,83.5600,1.2000,-1.42,6015162,84.2000,84.4800,82.9500
2025/04/30,84.7600,0.1600,+0.19,7469756,84.9800,85.0000,83.6800
2025/04/29,84.6000,0.5600,+0.67,4495711,84.0000,85.0800,83.8100
2025/04/28,84.0400,0.1200,-0.14,4513541,84.6000,84.8750,83.3800
2025/04/25,84.1600,0.1400,-0.17,5879954,84.4100,84.6600,83.5000
2025/04/24,84.3000,0.5500,+0.66,5958950,84.0300,84.5400,83.2600
