일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,228.6000,4.1500,-1.78,4277010,232.0000,238.3948,222.9100
2026/08/28,232.7500,7.4900,-3.12,3520188,238.5700,240.4900,228.6001
2026/08/27,240.2400,13.7500,+6.07,4234254,239.1500,244.4600,233.7800
2026/08/26,226.4900,0.0200,-0.01,2283325,223.0000,226.7200,219.7387
2026/08/25,226.5100,3.9000,+1.75,2643531,229.0600,232.0000,223.0100
2026/08/24,222.6100,7.9600,-3.45,4260106,222.7800,223.5900,211.5000
2026/08/21,230.5700,0.7800,-0.34,2714390,233.0500,236.3600,223.0450
2026/08/20,231.3500,3.4700,-1.48,3278372,235.4100,236.4999,226.5800
2026/08/19,234.8200,11.1500,-4.53,4903133,246.0100,250.0000,229.1800
2026/08/18,245.9700,36.8500,-13.03,7742741,266.9150,269.3300,240.0000
2026/08/17,282.8200,22.9200,+8.82,5762822,274.4400,286.2400,272.3050
2026/08/14,259.9000,6.0900,-2.29,3384583,265.4950,266.6234,253.7500
2026/08/13,265.9900,2.1700,-0.81,4297956,265.0000,285.8000,262.0000
2026/08/12,268.1600,20.4700,+8.26,5267064,264.3200,277.2300,254.5800
2026/08/11,247.6900,7.7550,+3.23,2456338,243.0000,247.7800,237.6600
2026/08/10,239.9350,9.9550,-3.98,4320595,254.7900,264.5000,239.7808
2026/08/07,249.8900,19.4600,+8.45,4265549,241.1400,250.0000,231.2501
2026/08/06,230.4300,5.8000,+2.58,3657920,216.0000,238.7439,210.4200
2026/08/05,224.6300,13.2900,-5.59,4281972,233.7900,246.7800,223.5600
2026/08/04,237.9200,19.5700,+8.96,6945072,230.0000,242.5000,224.5400
2026/08/03,218.3500,11.3600,+5.49,4667694,201.5500,219.7900,195.3900
2026/07/31,206.9900,5.9100,+2.94,6428497,215.8900,216.9900,199.3900
2026/07/30,201.0800,23.6300,+13.32,6966657,187.1350,201.3500,186.5300
2026/07/29,177.4500,14.8300,-7.71,7010890,189.5500,193.5900,177.0000
2026/07/28,192.2800,15.8600,-7.62,6706067,198.0500,199.1200,184.6800
2026/07/27,208.1400,5.0100,-2.35,5010002,216.9500,220.0000,197.0100
2026/07/24,213.1500,23.3500,-9.87,5926588,231.3200,231.3200,209.5500
2026/07/23,236.5000,8.2300,+3.61,4503027,223.9300,241.1400,223.2500
2026/07/22,228.2700,4.4000,+1.97,4036532,216.5550,231.8790,214.4837
2026/07/21,223.8700,11.8000,+5.56,4765246,224.4400,225.8400,216.4000
2026/07/20,212.0700,9.3900,+4.63,5200594,213.5000,221.4200,210.1301
2026/07/17,202.6800,5.2900,-2.54,8283343,193.5300,209.9700,185.8650
2026/07/16,207.9700,18.7700,-8.28,7997000,218.7400,222.3200,201.9300
2026/07/15,226.7400,9.4400,-4.00,5569148,238.0000,239.8100,217.4200
2026/07/14,236.1800,0.7000,-0.30,4162756,252.5050,252.5050,235.3900
2026/07/13,236.8800,20.9100,-8.11,6736634,248.5200,252.8100,235.5000
2026/07/10,257.7900,7.8600,-2.96,3976960,263.7300,268.6000,253.4301
2026/07/09,265.6500,6.9600,+2.69,6959212,274.1750,279.2000,261.3300
2026/07/08,258.6900,12.2900,+4.99,5727313,242.1000,264.1999,240.5000
2026/07/07,246.4000,19.1500,-7.21,7836051,249.8600,253.7500,235.5900
2026/07/06,265.5500,23.6400,+9.77,7501247,252.4900,280.5000,248.0200
2026/07/02,241.9100,17.1800,-6.63,9061693,260.0250,278.1150,233.1700
2026/07/01,259.0900,12.8600,-4.73,7941291,261.5550,271.0000,253.5200
2026/06/30,271.9500,26.2700,+10.69,8072096,249.4000,275.4300,244.0600
2026/06/29,245.6800,7.6800,+3.23,10111490,241.1900,247.4000,225.6601
2026/06/26,238.0000,30.0300,-11.20,38637247,261.2600,262.5600,231.0800
2026/06/25,268.0300,0.9600,-0.36,8181739,288.5300,290.4300,259.0000
2026/06/24,268.9900,3.0150,-1.11,6666202,281.1490,283.9999,259.7150
2026/06/23,272.0050,30.5150,-10.09,10376111,277.6350,284.0000,265.5301
2026/06/22,302.5200,30.6900,+11.29,9529680,290.7800,308.6699,287.2500
2026/06/18,271.8300,22.5000,+9.02,9353644,258.7400,274.9000,252.6900
2026/06/17,249.3300,10.1500,+4.24,7492826,249.7550,261.8700,243.0600
2026/06/16,239.1800,20.2300,-7.80,7557164,256.1300,258.3600,238.9700
2026/06/15,259.4100,8.6000,+3.43,7921260,263.0000,264.2500,243.3300
2026/06/12,250.8100,13.9500,-5.27,9028913,270.0200,270.2117,241.1200
2026/06/11,264.7600,27.0800,+11.39,13005219,243.6550,268.1800,242.0000
2026/06/10,237.6800,3.3600,+1.43,13941107,227.9950,261.3800,225.3900
2026/06/09,234.3200,12.0500,+5.42,15750899,226.7400,252.7000,209.5500
2026/06/08,222.2700,15.3800,+7.43,8731012,217.1850,227.5110,211.5000
2026/06/05,206.8900,10.6100,-4.88,15917879,208.1200,234.2200,202.6800
2026/06/04,217.5000,2.9000,+1.35,7454803,204.6600,227.6896,200.0000
2026/06/03,214.6000,14.4000,-6.29,9697109,230.5200,235.0000,204.0000
2026/06/02,229.0000,2.9000,+1.28,16247767,219.0550,245.9499,210.7232
2026/06/01,226.1000,9.9300,-4.21,13043540,240.0200,243.2100,223.5400
2026/05/29,236.0300,13.6800,+6.15,7597070,228.2500,240.8100,224.5000
2026/05/28,222.3500,1.1200,+0.51,5014511,222.2400,229.3900,212.7150
2026/05/27,221.2300,0.4100,-0.18,4256053,224.1300,226.0000,210.0800
2026/05/26,221.6400,3.2300,+1.48,9575008,228.0100,233.7000,211.5800
2026/05/22,218.4100,25.0200,+12.94,8538584,196.8500,218.9500,195.4700
2026/05/21,193.3900,10.4100,+5.69,6775171,180.0600,195.7000,180.0600
2026/05/20,182.9800,13.9900,+8.28,7487260,172.3000,187.7000,171.3100
2026/05/19,168.9900,12.7200,+8.14,8284971,151.3300,171.6400,148.9446
2026/05/18,156.2700,15.9000,-9.24,8611738,171.8400,172.2500,150.4100
2026/05/15,172.1700,12.3700,-6.70,5528848,177.2400,178.4600,171.0210
2026/05/14,184.5400,4.8200,-2.55,4949794,186.5000,187.2500,178.8701
2026/05/13,189.3600,9.2100,-4.64,6644678,201.9000,202.7500,186.0000
2026/05/12,198.5700,11.6500,-5.54,6256339,203.2500,210.3000,183.4000
2026/05/11,210.2200,21.7150,+11.52,7999323,187.3100,210.9700,186.7800
2026/05/08,188.5050,0.2150,+0.11,4837006,193.2000,196.7000,182.8000
2026/05/07,188.2900,10.0000,-5.04,5514589,195.6200,202.2800,185.7001
2026/05/06,198.2900,4.7200,+2.44,6073068,197.9200,198.5800,184.2000
2026/05/05,193.5700,13.5100,+7.50,6133218,183.5100,199.8090,183.4650
2026/05/04,180.0600,4.3200,-2.34,3636038,187.2700,188.2000,178.8800
2026/05/01,184.3800,10.3700,+5.96,4701715,175.8000,184.8800,171.4800
2026/04/30,174.0100,1.7600,-1.00,4438865,179.6700,180.5300,167.5000
2026/04/29,175.7700,9.8500,+5.94,4415314,171.5600,175.9600,165.0100
2026/04/28,165.9200,14.5800,-8.08,6339498,169.2050,178.0000,164.8000
2026/04/27,180.5000,14.5400,-7.45,6799011,190.8000,190.9800,176.3968
2026/04/24,195.0400,9.5000,+5.12,6639703,188.7500,198.9700,186.5700
2026/04/23,185.5400,3.9500,-2.08,5819999,185.9000,193.2300,179.1100
2026/04/22,189.4900,6.1700,+3.37,7342699,186.6200,191.8400,183.6200
2026/04/21,183.3200,8.7900,+5.04,9610647,179.7000,184.4599,174.6200
2026/04/20,174.5300,13.8400,+8.61,7465831,160.6500,174.6100,160.2000
2026/04/17,160.6900,1.7600,+1.11,7236713,163.7550,165.0000,152.0900
2026/04/16,158.9300,9.4200,-5.60,9679768,164.6000,166.5000,153.2500
2026/04/15,168.3500,8.8300,+5.54,10699528,164.5400,168.9700,160.2000
2026/04/14,159.5200,25.1600,+18.73,18523293,154.2300,163.6800,149.0000
2026/04/13,134.3600,14.7700,+12.35,10402322,123.6600,135.8700,123.3000
2026/04/10,119.5900,11.6600,+10.80,8563616,108.1800,122.3050,108.1800
2026/04/09,107.9300,2.2800,-2.07,4392797,110.7800,112.5700,106.0900
2026/04/08,110.2100,3.4200,+3.20,6093256,113.8700,114.9400,106.8000
2026/04/07,106.7900,4.3300,+4.23,4159146,101.7300,107.0350,101.6500
2026/04/06,102.4600,1.0100,+1.00,4279274,101.4850,106.5000,101.3000
2026/04/02,101.4500,5.5300,+5.77,5095826,91.0900,102.3823,91.0900
2026/04/01,95.9200,2.0500,+2.18,4869795,96.3500,98.7600,94.6100
2026/03/31,93.8700,6.0600,+6.90,7239999,89.3900,94.2300,88.1000
2026/03/30,87.8100,7.4300,-7.80,6562076,95.1300,95.9800,86.4850
2026/03/27,95.2400,1.2000,-1.24,4401961,95.0000,97.5000,93.6500
2026/03/26,96.4400,7.4700,-7.19,5719076,101.3200,101.6400,96.1500
2026/03/25,103.9100,3.6100,+3.60,5303021,102.2000,104.4200,101.1600
2026/03/24,100.3000,4.8000,-4.57,6325933,105.3600,105.3600,98.2100
2026/03/23,105.1000,1.7000,+1.64,6881723,105.3850,110.2000,103.0500
2026/03/20,103.4000,3.6900,-3.45,6804963,105.1600,106.1905,101.6700
2026/03/19,107.0900,5.3700,+5.28,6957146,100.1800,107.8500,99.6350
2026/03/18,101.7200,2.3400,-2.25,7469586,101.9900,106.9300,101.1200
2026/03/17,104.0600,12.8200,-10.97,15647419,122.5900,125.7000,102.2500
2026/03/16,116.8800,0.8100,-0.69,9100934,119.1600,123.2800,112.5000
2026/03/13,117.6900,6.1200,+5.49,4495295,113.0200,117.9000,112.4900
2026/03/12,111.5700,4.3400,-3.74,6053293,113.0800,114.6350,108.5824
2026/03/11,115.9100,3.5800,+3.19,6121176,112.8200,120.7550,112.8200
2026/03/10,112.3300,3.6500,-3.15,5691482,114.7900,116.1899,111.4900
2026/03/09,115.9800,6.1500,+5.60,7272268,106.1900,116.1300,104.8000
2026/03/06,109.8300,4.9100,-4.28,6948711,111.1700,117.8300,108.7600
2026/03/05,114.7400,12.2000,+11.90,11716219,109.0800,116.2870,109.0192
2026/03/04,102.5400,5.2400,+5.39,9137911,101.5350,107.4300,98.8600
2026/03/03,97.3000,16.9200,-14.81,19705955,101.0000,102.6300,92.6000
2026/03/02,114.2200,1.9500,+1.74,12477377,108.0500,115.6900,106.6600
2026/02/27,112.2700,2.2100,-1.93,7420518,111.0600,112.9600,108.8800
2026/02/26,114.4800,8.9800,-7.27,7864136,124.4650,124.5000,110.6800
2026/02/25,123.4600,2.6300,+2.18,5359609,118.8050,124.6900,114.6500
2026/02/24,120.8300,3.2200,-2.60,4042312,124.0100,125.5600,119.8767
2026/02/23,124.0500,0.0100,-0.01,3814547,122.4000,124.4100,118.8800
2026/02/20,124.0600,6.6000,-5.05,5201470,128.9350,131.9800,123.4300
2026/02/19,130.6600,2.7500,+2.15,3358209,129.9950,131.6300,127.0900
2026/02/18,127.9100,3.1100,+2.49,3918892,124.3500,132.4900,121.4100
2026/02/17,124.8000,3.3600,+2.77,4931909,117.5000,126.9600,114.1001
2026/02/13,121.4400,0.3400,-0.28,4520598,122.2750,124.0100,117.0100
2026/02/12,121.7800,6.6200,-5.16,6440703,131.0600,132.0000,121.6700
2026/02/11,128.4000,6.3200,-4.69,9878834,134.3500,134.7860,119.3800
2026/02/10,134.7200,11.3100,+9.16,12592737,141.0750,142.0000,131.2601
2026/02/09,123.4100,12.0100,+10.78,9063733,113.4050,124.3300,111.0758
2026/02/06,111.4000,13.3400,+13.60,9896575,103.1100,113.6300,102.3000
2026/02/05,98.0600,1.1100,+1.14,8225333,95.9980,101.8200,94.1870
2026/02/04,96.9500,14.3600,-12.90,14405969,108.0400,108.0800,95.0700
2026/02/03,111.3100,8.6500,-7.21,10940648,121.1050,124.2100,104.9500
2026/02/02,119.9600,5.3200,-4.25,5572946,121.7100,123.7500,118.5300
2026/01/30,125.2800,4.1900,-3.24,6759203,128.4950,132.2000,123.5901
2026/01/29,129.4700,0.1900,-0.15,5588108,131.4200,135.0300,123.2500
2026/01/28,129.6600,0.0900,+0.07,5146957,131.7700,134.5000,126.5300
2026/01/27,129.5700,1.5500,+1.21,4884193,130.7700,133.0000,127.7000
2026/01/26,128.0200,5.1400,-3.86,4894719,131.2200,134.4900,127.3300
2026/01/23,133.1600,1.9400,-1.44,4348233,135.9750,138.2400,131.1400
2026/01/22,135.1000,4.0600,-2.92,7268048,143.0000,144.0650,132.5000
2026/01/21,139.1600,14.0600,-9.18,9437841,153.1700,153.4000,134.1500
2026/01/20,153.2200,2.2500,+1.49,6083765,144.7300,158.8650,143.8001
2026/01/16,150.9700,1.8500,+1.24,4370771,150.0500,155.4100,148.8115
2026/01/15,149.1200,7.7200,-4.92,5676952,163.3700,164.8000,149.0000
2026/01/14,156.8400,4.5400,-2.81,4918407,159.5000,160.0000,148.5800
2026/01/13,161.3800,5.3100,+3.40,4604737,157.6750,164.7400,154.4100
2026/01/12,156.0700,5.6500,+3.76,4636526,148.7450,156.4300,147.3600
2026/01/09,150.4200,8.8300,+6.24,7517330,145.5300,157.5000,143.6200
2026/01/08,141.5900,0.5900,+0.42,6231070,140.4400,142.9413,135.0700
2026/01/07,141.0000,8.0500,+6.05,9879309,128.8300,143.2000,124.7001
2026/01/06,132.9500,7.2900,-5.20,7360822,139.8800,139.8800,129.5100
2026/01/05,140.2400,2.9800,-2.08,8056378,145.8500,148.1500,133.1100
2026/01/02,143.2200,0.6700,-0.47,5797634,148.4000,152.0000,140.5900
2025/12/31,143.8900,1.0300,-0.71,2521593,144.2000,146.3000,143.0900
2025/12/30,144.9200,0.2200,+0.15,2182726,144.4300,147.7200,142.3000
2025/12/29,144.7000,0.1300,-0.09,2828727,141.3300,145.1800,139.8800
2025/12/26,144.8300,5.3600,-3.57,2727537,152.2200,152.3000,144.6600
2025/12/24,150.1900,2.3800,+1.61,1956415,147.0000,151.9000,146.9091
2025/12/23,147.8100,2.1300,-1.42,3091916,146.6900,150.1900,143.1200
2025/12/22,149.9400,0.1900,-0.13,5094061,155.7200,156.0900,148.3400
2025/12/19,150.1300,11.5600,+8.34,9664796,142.9600,151.4203,141.0900
2025/12/18,138.5700,4.4400,+3.31,5374192,140.9500,142.9699,136.5700
2025/12/17,134.1300,6.2100,-4.42,4786862,142.3250,143.9900,132.7600
2025/12/16,140.3400,1.6800,-1.18,4778370,139.7600,142.3000,137.2700
2025/12/15,142.0200,1.8900,-1.31,5586538,147.0150,147.7838,141.0600
2025/12/12,143.9100,10.5600,-6.84,7997682,151.0000,154.0000,142.3500
2025/12/11,154.4700,3.5100,-2.22,7089019,159.6000,160.2700,148.8600
2025/12/10,157.9800,12.3100,-7.23,9031554,168.2700,169.6400,155.5000
2025/12/09,170.2900,8.6500,-4.83,4881564,175.3600,176.7365,167.1800
2025/12/08,178.9400,2.9000,+1.65,5847564,179.5400,181.0000,169.3900
2025/12/05,176.0400,4.8800,-2.70,5292226,185.1700,186.5000,173.9000
2025/12/04,180.9200,8.2700,-4.37,5648014,187.0000,189.1800,176.5000
2025/12/03,189.1900,0.7500,+0.40,7506016,188.3650,190.4100,176.0000
2025/12/02,188.4400,17.3100,+10.12,16853544,195.6350,213.8000,186.8300
2025/12/01,171.1300,6.4700,-3.64,10755526,172.0220,183.6900,171.1300
2025/11/28,177.6000,13.5900,+8.29,5665151,167.5000,177.9800,167.4800
2025/11/26,164.0100,9.8300,+6.38,5384135,156.4000,166.9800,155.5200
2025/11/25,154.1800,3.3300,+2.21,5199972,146.3850,154.3000,139.0000
2025/11/24,150.8500,17.3600,+13.00,16606997,137.0400,152.3800,137.0000
2025/11/21,133.4900,1.2400,-0.92,8404367,130.7400,137.4295,123.8700
2025/11/20,134.7300,7.1500,-5.04,9424465,153.8800,157.8600,133.4800
2025/11/19,141.8800,2.3200,+1.66,4493985,140.5700,146.9600,137.0400
2025/11/18,139.5600,6.0200,-4.14,4502978,139.8500,144.5300,137.0500
2025/11/17,145.5800,0.0600,+0.04,4124307,142.0000,149.0239,141.4000
2025/11/14,145.5200,2.5700,+1.80,5715397,135.0000,151.5000,132.0500
2025/11/13,142.9500,17.3900,-10.85,7413881,157.8900,158.0850,137.2901
2025/11/12,160.3400,1.8400,+1.16,3984160,163.4100,163.9299,154.1090
2025/11/11,158.5000,11.6600,-6.85,3985486,165.9200,166.6800,157.2700
2025/11/10,170.1600,6.5500,+4.00,4127820,172.9000,173.2500,164.5000
2025/11/07,163.6100,0.8700,+0.53,6910107,157.4000,163.7400,146.4100
2025/11/06,162.7400,10.4200,-6.02,5245519,174.6000,178.9899,162.4100
2025/11/05,173.1600,8.9300,+5.44,4984298,171.2500,175.2000,168.0100
2025/11/04,164.2300,16.4100,-9.08,5998252,170.6000,178.3500,163.8400
2025/11/03,180.6400,6.9800,-3.72,4599738,191.3400,191.6788,177.2600
2025/10/31,187.6200,21.0000,+12.60,7556883,172.8500,193.5000,170.4196
2025/10/30,166.6200,4.9000,-2.86,5154885,168.2800,179.1300,165.0000
2025/10/29,171.5200,9.3400,+5.76,4543415,165.2750,172.3700,164.6000
2025/10/28,162.1800,7.2200,+4.66,4021913,156.0000,163.4900,154.3529
2025/10/27,154.9600,0.5900,-0.38,3906465,162.3200,163.2000,153.8000
2025/10/24,155.5500,4.5800,+3.03,6051904,157.3500,163.5099,154.6300
2025/10/23,150.9700,13.7700,+10.04,5553935,136.1500,151.6599,136.0000
2025/10/22,137.2000,6.9700,-4.83,6333176,143.9600,148.7100,132.1800
2025/10/21,144.1700,7.4900,-4.94,5265705,150.4100,153.1200,142.5100
2025/10/20,151.6600,8.0500,+5.61,6634803,148.0000,153.7000,147.3900
2025/10/17,143.6100,7.0800,+5.19,6207376,132.8000,143.9500,131.1200
2025/10/16,136.5300,5.1200,+3.90,4884534,134.5000,136.8900,131.0600
2025/10/15,131.4100,1.6600,+1.28,6274708,136.1300,138.8699,128.8000
2025/10/14,129.7500,20.1500,-13.44,10759006,143.5500,151.6700,129.2000
2025/10/13,149.9000,11.0700,+7.97,5980582,146.0000,150.3000,143.5000
2025/10/10,138.8300,12.3200,-8.15,8183245,150.0000,151.7400,138.2600
2025/10/09,151.1500,2.2800,+1.53,5514572,145.5700,151.5200,145.0500
2025/10/08,148.8700,11.6700,+8.51,6720542,139.4000,149.0500,137.2100
2025/10/07,137.2000,10.2200,-6.93,8393252,146.6900,146.9900,134.8000
2025/10/06,147.4200,3.5500,+2.47,6451321,152.8400,156.7500,143.7500
2025/10/03,143.8700,5.7600,-3.85,6153710,155.2800,156.8900,141.5000
2025/10/02,149.6300,4.7200,+3.26,6126478,152.4600,155.5900,145.7800
2025/10/01,144.9100,0.7000,-0.48,4274433,144.7700,145.6600,140.5100
2025/09/30,145.6100,0.4000,-0.27,3625741,146.8700,150.2600,142.5700
2025/09/29,146.0100,3.0800,+2.15,5283192,148.4500,152.7499,145.7300
2025/09/26,142.9300,2.0100,-1.39,4861815,146.3050,146.9999,139.2500
2025/09/25,144.9400,4.4400,-2.97,6634578,139.8350,148.5814,138.0000
2025/09/24,149.3800,12.8800,-7.94,7768869,158.9900,158.9900,146.8000
2025/09/23,162.2600,1.8400,-1.12,4831609,163.4200,164.0500,155.2100
2025/09/22,164.1000,5.4600,-3.22,6067858,167.8500,176.5000,159.5600
2025/09/19,169.5600,2.7500,-1.60,12625081,172.8400,174.0000,167.3200
2025/09/18,172.3100,7.8700,+4.79,5338256,173.1000,176.7000,170.7000
2025/09/17,164.4400,0.0200,+0.01,3599609,163.9300,167.1500,157.7700
2025/09/16,164.4200,0.4400,+0.27,4137364,163.5100,168.1400,160.6000
2025/09/15,163.9800,1.9900,+1.23,4300983,161.5000,167.9150,159.5100
2025/09/12,161.9900,2.6700,+1.68,3549214,160.0300,164.9800,158.9000
2025/09/11,159.3200,4.6400,-2.83,6295631,168.2300,168.4200,158.6100
2025/09/10,163.9600,14.9300,+10.02,7452601,156.1040,164.0600,154.5800
2025/09/09,149.0300,1.5000,+1.02,4276962,149.4500,151.7200,147.2200
2025/09/08,147.5300,6.7100,+4.76,7085063,144.2700,149.0800,140.9900
2025/09/05,140.8200,6.8200,+5.09,7242960,137.9000,142.5699,136.2400
2025/09/04,134.0000,9.2300,+7.40,14059120,137.9950,141.0900,132.7300
2025/09/03,124.7700,0.5000,+0.40,9170309,124.3400,127.2800,122.1000
2025/09/02,124.2700,1.2150,+0.99,6412912,121.9100,124.5892,116.1600
2025/08/29,123.0550,8.7650,-6.65,4965911,130.8700,131.1999,121.0000
2025/08/28,131.8200,9.0900,+7.41,4880681,123.6900,134.3500,123.6900
2025/08/27,122.7300,2.6300,+2.19,3447885,120.7300,123.9800,118.6400
2025/08/26,120.1000,4.6900,+4.06,3567784,115.2800,121.3875,115.0900
2025/08/25,115.4100,1.3700,+1.20,2160413,113.8400,117.1800,112.5000
2025/08/22,114.0400,3.1800,+2.87,4815231,107.3900,116.3500,105.8600
2025/08/21,110.8600,4.8700,+4.59,3461832,105.8400,111.2200,105.0000
2025/08/20,105.9900,0.3100,-0.29,5526790,104.5000,106.1800,100.0600
2025/08/19,106.3000,12.4400,-10.48,5390917,116.2900,116.7350,104.7900
2025/08/18,118.7400,2.0000,+1.71,2974360,116.4200,119.5000,114.1400
2025/08/15,116.7400,0.5900,-0.50,2936858,116.6900,116.7700,112.5100
2025/08/14,117.3300,3.8000,-3.14,4400763,119.4500,120.4600,114.5700
2025/08/13,121.1300,4.2500,-3.39,4676919,128.4000,128.5600,116.2700
2025/08/12,125.3800,6.8100,+5.74,3235989,119.1800,125.4400,117.2250
